description,dpl_tag
Risk assessment costs – Crestwood Ltd,DPL025
Pre-tax gain on non-operating activity – 2023,DPL044
FX loss on USD settlement – AP REF-59931,DPL043
Retail property fair value gain/(loss) – 2024,DPL020
Late payment penalty – PO-52521,DPL015
Sale of IT equipment – gain/(loss) – INV-38811,DPL022
Nationwide current account interest income – Apr,DPL006
IP legal costs – Baker McKenzie – Apr 2025,DPL038
Profit on disposal of motor vehicle – REF-52726,DPL022
Hardware maintenance – Sales servers,DPL037
Prime Solutions – Strategy consulting services – March 2023,DPL009
Raw materials stock change – April,DPL032
Plant and equipment maintenance – Jan,DPL047
R&D staff costs – Procurement – Nov,DPL056
Cyber liability insurance premium – 2023,DPL033
KPMG management consulting – Project Delta project,DPL009
Finance INCOME – employee benefit plan – 2024,DPL058
Equity investment write-down – Northern Division – Oct,DPL027
Overseas withholding tax – Apr 2025,DPL031
Building security services – Apr 2026,DPL061
Finance transformation advisory – REF-58079,DPL009
Income tax expense – current year – 2025,DPL031
Business insurance – RSA – March 2024,DPL033
Office supplies printing – REF-66551,DPL054
Management consultancy fees – JNL-45904,DPL009
Referral commission paid – EXP-55696,DPL012
One-off non-operating gain – May 2024,DPL044
Donation to Conservative Party – disclosed in accounts – 2023,DPL053
INV-48527 – Broadband and telephony – Verizon,DPL064
Non-recoverable VAT charge – May 2024,DPL036
Finance INCOME – employee benefit plan – 2025,DPL058
Currency translation difference – April 2023,DPL043
REF-33320 – Security contractor – Sterling Group,DPL061
VAT compliance services – May 2024,DPL003
IFRS 5 held-for-sale disposal gain – JV Entity – 2024,DPL017
Product liability insurance – Zurich – 2023,DPL033
Work in progress movement – June 2023,DPL032
Input VAT – non-deductible – Nov 2025,DPL036
Service fee income – Corinthian Ltd – May,DPL045
Share option expense – IFRS 2 charge – April 2025,DPL062
Internal resources capitalised – Project Zeta – Apr 2025,DPL050
REF-46260 – Service income – Vanguard Ltd,DPL066
Staff salaries – February 2024,DPL068
Intangible asset disposal gain – INV-51333,DPL021
Fair value adjustment – livestock biological assets – 2024,DPL019
Server hardware impairment – Workday – 2026,DPL029
R&D staff costs – Legal – Jul,DPL056
Other unclassified cost – March,DPL074
Investment property revaluation gain – June 2023,DPL020
Sundry operating income – Sep,DPL045
IAS 40 annual fair value update – Sheffield site – 2023,DPL020
Shared services cost recharge – R&D – 2023,DPL034
Expense capitalised to work in progress – Jan 2026,DPL042
Work in progress movement – Oct 2025,DPL032
Bank service charges – August 2023,DPL005
Sundry other expense – Marketing – 2023,DPL074
Deep clean – Edinburgh branch – Aug,DPL008
Annual subscription – Reuters – 2025,DPL063
Development costs – Falcon product – 2023,DPL056
Trade association subscription – 2026,DPL063
Crowe management consulting – Horizon project,DPL009
Product sales – Legal – September 2026,DPL066
IAS 29 hyperinflation adjustment – USD functional currency – 2025,DPL026
Post-tax gain on sale of JV Entity division – 2024,DPL017
Companies House late filing penalty – 2024,DPL015
Share award charge – Facilities – 2026,DPL062
Payroll run – March 2023 – Procurement,DPL068
Other charges – unspecified – EXP-33615,DPL074
Waste management and recycling costs – Birmingham site – 2023,DPL011
Internal labour capitalised – Project Zeta project – March,DPL050
IAS 41 bearer plant fair value – August 2024,DPL019
Impairment reversal – subsidiary investment recovery – 2025,DPL027
Licence fee for use of trade secret – 2025,DPL060
PV unwinding – restructuring provision – 2026,DPL067
Technology licence fee – Global IP Holdings – November,DPL060
Own labour – asset construction – 2026,DPL050
Intangible asset impairment reversal – 2025,DPL028
Office cleaning services – September 2025,DPL008
Office supplies printing – INV-11992,DPL054
Depreciation – office furniture and equipment – February 2026,DPL010
Loan written off – Southern Operations – 2026,DPL039
Office fit-out impairment charge – Edinburgh branch – 2026,DPL029
CJRS furlough grant received – Oct 2023,DPL071
Amortisation charge – AP-22269 – intangible assets – 2024,DPL002
Employee benefits expense – November 2026,DPL048
Software licence renewal – Legal – 2026,DPL037
Regulatory fine – ICO – 2023,DPL015
IFRS 3 reassessment gain – Eastern Region Ltd – 2026,DPL023
Warehouse storage charges – Sep 2026,DPL069
Catapult Innovation Fund grant income – December 2024,DPL024
Pallet storage fees – FedEx – 2025,DPL069
Loan receivable write-off – EXP-54238,DPL039
Warranty provision utilisation – Mar 2023,DPL018
Investment write-down – US Operations Inc shares – 2024,DPL027
Employee incentive scheme cost – 2025,DPL048
VAT compliance services – Jul 2023,DPL003
Off payroll revenue – REF-19101 – 2025,DPL070
Pensions Regulator late filing penalty – 2023,DPL015
Machinery depreciation – Legal – Feb,DPL010
Service fee income – Vanguard Ltd – Apr,DPL045
Discount unwind on warranty provision – 2024,DPL067
Customs penalty and surcharge – 2026,DPL015
Extraordinary income – non-trading – 2026,DPL044
Loan receivable write-off – REF-55205,DPL039
Corporation tax charge for year ended 2023,DPL031
Intra-group interest INCOME – Asia Pacific Holdco – May,DPL075
Property maintenance charge – Cardiff branch,DPL047
Residential investment property fair value loss – 2024,DPL020
Contaminated land remediation – Cardiff branch – 2024,DPL011
Warehouse storage charges – Jan 2026,DPL069
Office supplies printing – JNL-46318,DPL054
Monetary position loss – hyperinflationary economy – 2023,DPL026
Corporate mobile plan – HR – April,DPL064
CJRS furlough grant received – September 2026,DPL071
Subscription revenue – April 2024,DPL066
Document printing and binding costs – Nov,DPL054
Realised fair value GAIN on inflation swap – 2024,DPL013
Contract penalty charge – REF-73574,DPL015
Tax provision adjustment – Sep 2026,DPL031
Input VAT – non-deductible – Feb 2025,DPL036
Employee benefits expense – September 2026,DPL048
Flight booking – business trip – April 2026,DPL065
Coronavirus discretionary grant – local council – 2026,DPL072
Financial asset FVTPL fair value INCREASE – 2023,DPL013
Audit planning fees – Grant Thornton – April,DPL003
