description,dpl_tag
Audit planning fees – Deloitte – June,DPL003
Operational income adjustment – January 2023,DPL045
COVID-19 wage support grant – 2026,DPL071
Business process outsourcing charge – 2023,DPL049
Employee redundancy payments – Sep 2026,DPL059
Admin support costs – Sales – September 2026,DPL046
Time value of money charge – environmental remediation provision – 2026,DPL067
Outsourced HR services – April 2026,DPL049
Intangible asset disposal gain – PO-55860,DPL021
Change in finished goods inventory – February 2025,DPL032
Crowe management consulting – Titan project,DPL009
Taxi and car hire – Apr 2025,DPL065
Unrealised LOSS on FX forward contract – August 2025,DPL014
Defined benefit pension scheme – service cost – Jun 2025,DPL051
Operational income adjustment – September 2023,DPL045
Software licence renewal – Operations – 2026,DPL037
Financial instrument MTM LOSS – FX forward contract – Jan,DPL014
Impairment of investment in Asia Pacific Holdco – 2025,DPL027
IP legal costs – Baker McKenzie – Apr 2025,DPL038
Office rent – Nottingham office – December 2024,DPL055
Warehouse storage charges – September 2026,DPL069
Interest on term deposit – Standard Chartered – June,DPL006
Sale of IT equipment – gain/(loss) – AP-80051,DPL022
Day-to-day operational admin expenses – IT,DPL046
Environmental consultancy – Lakeside Corp – 2024,DPL011
Auto-enrolment pension contribution – Jan 2023,DPL052
Product liability insurance – AXA – 2024,DPL033
Finance CHARGE – lease liability – Dec 2026,DPL057
Training and development – Sales – 2023,DPL048
Fair value LOSS on equity option – June 2025,DPL014
Work in progress movement – Jul 2023,DPL032
Off payroll revenue – INV-91121 – 2024,DPL070
CJRS furlough grant received – October 2026,DPL071
Machinery depreciation – Facilities – Sep,DPL010
Investment property revaluation gain – March 2026,DPL020
Internal resources capitalised – Cobalt – Oct 2026,DPL050
COVID-19 recovery grant – 2023,DPL072
Warehouse storage charges – November 2025,DPL069
Senior secured loan interest – April,DPL035
Contract penalty charge – EXP-55107,DPL015
Syndicated facility interest – 2024,DPL035
Dividend income from Northern Division – July 2023,DPL030
Equity derivative fair value GAIN – April,DPL013
Inter-company interest EXPENSE – Holdco Ltd – 2023,DPL076
Bank interest credited – January 2023,DPL006
Employer pension contribution – defined contribution – July,DPL052
IAS 36 PPE impairment – Nottingham office – 2026,DPL029
H&S training costs – Jan 2026,DPL025
Business transformation consulting – July 2025,DPL009
Gross wages – Procurement – September 2025,DPL068
Corporate social responsibility donation – June 2024,DPL007
Capital grant amortisation – August 2026,DPL024
Discount unwind – legal claims provision – September 2025,DPL067
Document printing and binding costs – Jun,DPL054
Trade mark licence payment – Innovation Licensing Corp – 2023,DPL060
Coronavirus business interruption grant – 2026,DPL072
Pension scheme contribution – defined benefit – February,DPL051
IAS 29 indexation gain – Jan 2023,DPL026
